dd_id,deployment
449223,AL9705
449224,AL9707
449225,AL9801
449226,AL9808
449227,AL9904
449228,EL9905
449229,EL9906
449230,EN259
449231,EN260
449232,EN261
449233,EN262
449234,EN263
449235,EN264
449236,EN265
449237,EN266
449238,EN267II
449239,EN268
449240,EN269
449241,EN271
449242,EN274
449243,EN276
449244,EN278
449245,EN282
449246,EN288
449247,EN292
449248,EN296
449249,EN298
449250,EN301
449251,EN302
449252,EN303
449253,EN307
449254,EN308
449255,EN319
449256,EN320
449257,EN321
449258,EN322
449259,EN323
449260,EN324
449261,EN325
449262,EN330
449263,EN331
449264,OC275
449265,OC276
449266,OC291
449267,OC296
449268,OC298
449269,OC299
449270,OC300
449271,OC301
449272,OC302
449273,OC303
449274,OC311
449275,OC317
449276,OC319
449277,OC321
449278,OC322
449279,OC331
449280,OC332
449281,OC333
449282,OC334
449283,OC336
449284,OC337
449285,OC338
449286,OC339
449287,OC340
449288,OC341
449289,OC342
449290,OC343
449291,OC344
449292,OC345
449293,OC346
449294,OC347
449295,EN307
449296,EN330
449297,EN331
449298,OC332
449299,OC334
449300,AL9505
449301,AL9506
449302,AL9508
449303,AL9605
449304,AL9607
449305,EN261
449306,EN263
449307,EN265
449308,EN276
449309,EN278
449310,EN282
449311,OC275
449312,AL9505
449313,AL9506
449314,AL9508
449315,AL9605
449316,AL9607
449317,EN261
449318,EN263
449319,EN265
449320,EN276
449321,EN278
449322,EN282
449323,OC275
449324,EN307
449325,EN330
449326,EN331
449327,OC332
449328,OC334
449329,EN321
449330,EN325
449331,AL9306
449332,AL9403II
449333,EN268
449334,OC301
449335,OC303
449336,SJ9503
449337,SJ9505
449338,SJ9507
449339,AL9306
449340,AL9403II
449341,AL9404
449342,AL9505
449343,AL9506
449344,AL9508
449345,AL9513
449346,AL9605
449347,AL9607
449348,AL9612
449349,AL9701
449350,AL9707
449351,AL9801
449352,AL9806
449353,AL9808
449354,AL9901
449355,AL9904
449356,AL9906
449357,EN261
449358,EN263
449359,EN265
449360,EN268
449361,EN274
449362,EN276
449363,EN278
449364,EN282
449365,EN296
449366,EN307
449367,EN319
449368,EN320
449369,EN321
449370,EN322
449371,EN325
449372,EN330
449373,EN331
449374,OC300
449375,OC301
449376,OC302
449377,OC303
449378,OC319
449379,OC332
449380,OC334
449381,OC336
449382,OC341
449383,SJ9503
449384,SJ9505
449385,SJ9507
449386,CI9407
449387,EN259
449388,EN260
449389,EN262
449390,EN264
449391,EN266
449392,EN267I
449393,EN267II
449394,EN269
449395,AL9505
449396,AL9506
449397,AL9508
449398,AL9605
449399,AL9607
449400,AL9701
449401,AL9705
449402,AL9707
449403,AL9801
449404,AL9806
449405,AL9808
449406,AL9901
449407,AL9904
449408,AL9906
449409,EN261
449410,EN263
449411,EN265
449412,EN276
449413,EN278
449414,EN282
449415,EN320
449416,OC275
449417,OC298
449418,OC300
449419,OC302
449420,OC317
449421,OC319
449422,OC322
449423,OC336
449424,OC341
449425,AL9505
449426,AL9506
449427,AL9508
449428,AL9605
449429,AL9607
449430,AL9701
449431,AL9705
449432,AL9707
449433,AL9801
449434,AL9806
449435,AL9808
449436,AL9901
449437,AL9904
449438,AL9906
449439,EN261
449440,EN263
449441,EN265
449442,EN276
449443,EN278
449444,EN282
449445,EN320
449446,OC275
449447,OC298
449448,OC300
449449,OC302
449450,OC317
449451,OC319
449452,OC322
449453,OC336
449454,OC341
449455,AL9505
449456,AL9506
449457,AL9508
449458,AL9605
449459,AL9607
449460,AL9701
449461,AL9705
449462,AL9707
449463,AL9801
449464,AL9806
449465,AL9808
