dataset_id,dd_id,deployment
2435,450466,NOAA-14-GB
2435,450467,NOAA-9-GB
2516,450579,TT043
2516,450613,TT045
2516,450640,TT049
2516,450660,TT050
2516,450687,TT053
2516,450706,TT054
2516,452844,TT039
2517,450553,TT043
2517,450585,TT045
2517,450620,TT049
2517,450644,TT050
2517,450667,TT053
2517,450691,TT054
2518,450554,TT043
2518,450597,TT045
2518,450629,TT049
2518,450692,TT054
2519,450555,TT043
2519,450598,TT045
2519,450630,TT049
2519,450669,TT053
2519,450693,TT054
2520,450556,TT043
2520,450586,TT045
2520,450623,TT049
2520,450645,TT050
2520,450671,TT053
2520,450694,TT054
2521,450557,TT043
2521,450624,TT049
2522,450558,TT043
2522,450625,TT049
2523,450559,TT043
2523,450590,TT045
2523,450626,TT049
2523,450649,TT050
2524,450560,TT043
2524,450591,TT045
2524,450657,TT050
2524,450702,TT054
2525,450561,TT043
2525,450592,TT045
2525,450656,TT050
2525,450701,TT054
2526,450562,TT043
2526,450593,TT045
2527,450563,TT043
2527,450594,TT045
2528,450564,TT043
2528,450595,TT045
2528,450627,TT049
2528,450650,TT050
2528,450675,TT053
2528,450695,TT054
2528,452843,TT039
2529,450565,TT043
2529,450596,TT045
2529,450628,TT049
2531,450567,TT043
2531,450600,TT045
2531,450652,TT050
2532,450568,TT043
2532,450677,TT053
2533,450569,TT043
2533,450588,TT045
2533,450632,TT049
2533,450647,TT050
2533,450673,TT053
2533,450697,TT054
2534,450570,TT043
2534,450601,TT045
2534,450633,TT049
2534,450686,TT053
2534,450705,TT054
2534,451635,TT044
2535,450571,TT043
2535,450602,TT045
2535,450634,TT049
2535,451636,TT044
2535,451637,TT053
2535,451638,TT054
2536,450572,TT043
2536,450612,TT045
2536,450635,TT049
2536,450685,TT053
2536,450704,TT054
2537,450573,TT043
2537,450603,TT045
2537,450636,TT049
2537,450655,TT050
2537,450678,TT053
2537,450699,TT054
2539,450575,TT043
2539,450681,TT053
2540,450576,TT043
2540,450682,TT053
2541,450577,TT043
2541,450616,TT045
2541,450643,TT049
2541,450683,TT053
2542,450578,TT043
2542,450611,TT045
2542,450639,TT049
2543,450580,TT043
2543,450604,TT045
2543,450642,TT049
2543,450654,TT050
2543,450679,TT053
2543,450700,TT054
2544,450581,TT043
2544,450614,TT045
2544,450661,TT050
2545,450582,TT043
2545,450615,TT045
2545,450662,TT050
2546,450583,TT043
2546,450619,TT045
2546,450663,TT050
2547,450584,TT043
2547,450618,TT045
2547,450666,TT050
2547,450711,TT054
2548,450587,TT045
2548,450646,TT050
2548,450672,TT053
2554,450610,TT045
2554,450638,TT049
2554,450659,TT050
2554,450684,TT053
2555,450617,TT045
2555,450689,TT053
2555,450709,TT054
2556,450621,TT049
2556,450668,TT053
2557,450622,TT049
2557,450670,TT053
2558,450641,TT049
2558,450688,TT053
2560,450653,TT050
2560,450698,TT054
2561,450664,TT050
2561,450708,TT054
2561,451675,TT039
2564,450690,TT053
2564,451633,TT045
2564,451634,TT054
2565,450707,TT054
2565,451677,TT050
2566,450712,EN198
2566,450721,AII-119-4
2566,450722,AII-119-5
2568,450767,AII-119-4
2568,450768,AII-119-5
2568,451732,EN198
2571,450716,EN198
2571,450726,AII-119-5
2571,450769,AII-119-4
2573,450718,EN198
2573,450782,AII-119-4
2573,450784,AII-119-5
2574,450719,EN198
2574,450785,AII-119-5
2575,450720,EN198
2575,450786,AII-119-5
2575,450789,AII-119-4
2584,450730,AII-119-4
2584,450775,AII-119-5
2599,450772,AII-119-4
2599,450773,AII-119-5
2624,450807,TT007
2624,450857,TT008
2624,450887,TT011
2624,450941,TT012
2624,450973,TT013
2625,450808,TT007
2625,450874,TT008
2625,450888,TT011
2625,450958,TT012
2626,450809,TT007
2626,450859,TT008
2626,450895,TT011
2626,450942,TT012
2627,450810,TT007
2627,450861,TT008
2627,450896,TT011
2627,450944,TT012
2628,450811,TT007
2628,450897,TT011
2628,452131,TT008
2628,452132,TT012
2629,450812,TT007
2629,450899,TT011
2630,450813,TT007
2630,450900,TT011
2631,450814,TT007
2631,450901,TT011
2632,450815,TT007
2632,450902,TT011
2633,450816,TT007
2633,450870,TT008
2633,450953,TT012
2634,450817,TT007
2634,450872,TT008
2634,450903,TT011
2634,450955,TT012
2634,450982,TT013
2635,450818,TT007
2635,450871,TT008
2635,450904,TT011
2635,450954,TT012
2636,450819,TT007
2636,450885,TT008
2636,450905,TT011
2636,450971,TT012
2637,450820,TT007
2637,450906,TT011
2637,450957,TT012
2638,450821,TT007
2638,450907,TT011
2639,450822,TT007
2639,450909,TT011
2640,450823,TT007
2640,450908,TT011
2641,450824,TT007
2641,450910,TT011
2642,450825,TT007
2642,450911,TT011
2643,450826,TT007
2643,450939,TT011
2644,450827,TT007
2644,450912,TT011
2645,450828,TT007
2645,450913,TT011
2646,450829,TT007
2646,450914,TT011
2647,450830,TT007
2647,450915,TT011
2648,450831,TT007
2648,450916,TT011
2649,450832,TT007
2649,450886,TT008
2649,450917,TT011
2649,450972,TT012
2650,450833,TT007
2650,450918,TT011
2651,450834,TT007
2651,450877,TT008
2651,450919,TT011
2651,450961,TT012
2652,450835,TT007
2652,450878,TT008
2652,450920,TT011
2652,450962,TT012
2653,450836,TT007
2653,450921,TT011
2654,450837,TT007
2654,450922,TT011
2655,450838,TT007
2655,450879,TT008
2655,450924,TT011
